Candidate,Party,Votes
SUNIL KUMAR SINGH,Bharatiya Janata Party,295862
DHIRAJ PRASAD SAHU,Indian National Congress,117836
NILAM DEVI,Jharkhand Vikas Morcha (Prajatantrik),104176
NAGMANI,AJSU Party,35674
KESHWAR YADAV,Samajwadi Party,29754
BANWARI SAW,Communist Party of India,21261
SIMA CHANDRAVANSI,Aam Aadmi Party,17980
HAJI JAINUL ABEDIN,Bahujan Samaj Party,14929
RAJ KUMAR PAHAN,Rashtriya Deshaj Party,10771
RAMNARESH SINGH,Communist Party of India (Marxist-Leninist) (Liberation),8341
NAUSHAD ALAM,All India Trinamool Congress,7841
BALWANT KUMAR,Jharkhand Party,6845
SUDHANSHU SUMAN,Independent,5843
MAHESH SINGH YADAV,Janata Dal (United),5783
SAGAR RAM,Akhil Bharat Hindu Mahasabha,5743
CHANDRADEO THAKUR,Socialist Party (India),4725
MISTAR ALAM ASRAFEE,Rashtriya Jankranti Morcha,4647
ANIL KUMAR ORAON,Independent,4209
ASHISH BHUSHAN PATHAK,Independent,2944
ROBIN SINGH,Independent,2016
None of the Above,None of the Above,5791
