Candidate,Party,Votes
PASHUPATI NATH SINGH,Bharatiya Janata Party,543491
AJAY KUMAR DUBEY,Indian National Congress,250537
ANAND MAHATO,Marxist Co-Ordination,110185
SAMARESH SINGH,Jharkhand Vikas Morcha (Prajatantrik),90926
CHANDRA SHEKHAR DUBEY,All India Trinamool Congress,29937
HEMLATA S. MOHAN,AJSU Party,21277
DR. KRISHNA CHANDRA SINGHRAJ,Independent,13200
RAMA KANT VERMA,Aam Aadmi Party,8948
HIRALAL SANKHWAR,Jharkhand Party,8580
MADAN MOHAN RAM,Bahujan Samaj Party,8455
GANPAT MAHTO,Independent,5441
KISHOR KUMAR MURMU,Bahujan Mukti Party,4531
AKLU RAM MAHTO,Samajwadi Party,4169
RITU RANI SINGH,Independent,3814
MANTOSH KUMAR MANDAL,Amra Bangalee,3413
AHMAD HUSSAIN ANSARI,Jharkhand Disom Party,3120
MD. ZUBAIR,All India Minorities Front,3094
GAUTAM KUMAR MAHATO,Independent,3000
JAYANT PANDEY,All India Forward Bloc,2518
SUMAN BANERJEE,Independent,2104
RAMESH BHARATI,Independent,2052
MANILAL MAHTO,Independent,1888
VIJAY KANT MISHRA,Independent,1537
RANBIR SINGH,Independent,1516
MUNSHI HEMBRAM,Independent,1486
BINOD SINGH,Independent,1457
PARSHURAM PASWAN,Independent,1359
PREM PRAKASH PASWAN,Independent,1226
TARCH MURMU,Independent,1190
RAMESH KUMAR RAY,Independent,965
PAWAN MAHATO,Independent,811
None of the Above,None of the Above,7675
