Candidate,Party,Votes
BIDYUT BARAN MAHATO,Bharatiya Janata Party,464153
AJAY KUMAR,Jharkhand Vikas Morcha (Prajatantrik),364277
NIROOP MAHANTY,Jharkhand Mukti Morcha,138109
ANGAD MAHATO,Amra Bangalee,12632
KUMAR CHANDRA MARDI,Aam Aadmi Party,7145
OM PRAKASH ANAND,Independent,5655
MOBIN KHAN,Independent,5406
JOSAI MARDI,Rashtriya Deshaj Party,5378
DINESH MAHATO,Independent,5300
SEKH AKHIRUDDIN,Jharkhand Party (Naren),4822
DAMAN CHANDRA BHAKAT,Bahujan Samaj Party,4606
HARI ORAWN,Independent,4485
UPENDRA KARMAKAR,Independent,4429
SITA RAM TUDU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3700
D.G.RAJA,Samajwadi Party,3414
None of the Above,None of the Above,15629
