Candidate,Party,Votes
(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janata Party,405690
(DR) HARAK SINGH RAWAT,Indian National Congress,221164
DHEER SINGH BISHT,Bahujan Samaj Party,9250
INDRESH MAIKHURI,Communist Party of India (Marxist-Leninist) (Liberation),7470
(DR) RAKESH SINGH,Aam Aadmi Party,6727
BHUPAL SINGH GUSAIN (UKD),Independent,6699
NARENDRA SINGH NEGI,Communist Party of India,6525
ABDUL SALAM,Independent,4510
RENU AGARWAL,Independent,3051
ANUP NEGI,Independent,2279
None of the Above,None of the Above,8659
