Candidate,Party,Votes
KHER KIRRON ANUPAM,Bharatiya Janata Party,191362
PAWAN KUMAR BANSAL,Indian National Congress,121720
GULKIRAT KAUR PANAG,Aam Aadmi Party,108679
JANNAT JAHAN-UL-HAQ (NAINA),Bahujan Samaj Party,15934
REENA SHARMA,Independent,2643
SHAMSHER SINGH,Independent,2054
KAWALJIT SINGH,Communist Party of India (Marxist-Leninist) (Liberation),1968
PAWAN KUMAR SHARMA,Independent,997
RAMESH CHANDER,Independent,743
AJAY SINGLA,Independent,660
KHEM LAL BANSAL,Inqalab Vikas Dal,640
DEEPAK SHUKLA,Independent,613
DHARMENDER SINGH,Hindustan Ekta Party,566
SURENDER KUMAR,Bahujan Mukti Party,550
SURINDER BHARDWAJ,Janata Dal (United),434
AMARJIT KAUR,Independent,397
JASMER SINGH,Independent,389
None of the Above,None of the Above,3106
