Candidate,Party,Votes
PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,80790
DELKAR MOHANBHAI SANJIBHAI,Indian National Congress,74576
KHULAT JANIYABHAI CHANDUBHAI,Nationalist Congress Party,1611
PRAKASH VANSHA KHANVELKAR,Independent,1214
BHURKUD DILIPBHAI NAVJIBHAI,Independent,1154
PATEL HEMANTBHAI KESHAVBHAI,Bahujan Samaj Party,982
PATEL CHHOTUBHAI BABUBHAI,Aam Aadmi Party,621
KAMUBEN KHALPABHAI PATEL,Independent,418
KISHAN NATHU GHUTIYA,Shivsena,378
UMEDBHAI LALLUBHAI PATEL,Bahujan Mukti Party,348
VIJAYBHAI NATHUBHAI BHOYA,Janata Dal (United),232
None of the Above,None of the Above,2962
