Candidate,Party,Votes
DR. HARSH VARDHAN,Bharatiya Janata Party,437938
ASHUTOSH,Aam Aadmi Party,301618
KAPIL SIBAL,Indian National Congress,176206
DILDAR HUSSAIN BEG,Independent,28605
NARENDRA KUMAR PANDEY,Bahujan Samaj Party,7746
ASHUTOSH,Independent,4504
HARIOM SHARMA,All India Trinamool Congress,3531
SANJAY GANDHI,Braj Vikas Party,3390
VIJAY SHANKER CHAUBEY,Independent,1829
ABDUL AMIR AMIRO,Independent,1765
AJAY KUMAR KHEMKA,Kalyankari Jantantrik Party,1643
JAGMOHAN SINGH BAKSHI,Atulya Bharat Party,1553
GAGAN RASTOGI,Independent,1424
BIR SINGH SONI,Independent,881
SURENDER SINGH,Independent,789
BALRAM BARI,Independent,602
MUSARRAT JAHAN,Rashtriya Janmorcha,592
MOHD. MURSALEEM,Peace Party,538
RASHMI KASHYAP,Bhartiya Pragatisheel Congress,538
DHAN RAJ CHAUHAN,Naya Daur Party,308
JAGJEET SINGH,Bharatiya Gaon Taj Dal,290
ALTAF HUSAIN,Bhartiya Janta Dal (Integrated),272
DR. TARUN KUMAR,Vishva SHakti Party,263
TARIQ MIRZA,Republican Party of India (A),253
MD. AFAQ,Jai Maha Bharath Party,251
None of the Above,None of the Above,4534
