Candidate,Party,Votes
UDIT RAJ,Bharatiya Janata Party,629860
RAKHI BIRLA,Aam Aadmi Party,523058
KRISHNA,Indian National Congress,157468
BASANT PANWAR,Bahujan Samaj Party,21485
SHAILENDER KUMAR,Independent,3446
JODHRAJ PAHARIA,Independent,2279
INDER SINGH,Asankhya Samaj Party,1749
DHARAMRAJ,Bhartiya Pragatisheel Congress,1680
RAM KARAN SAURAN,Independent,1621
SUNIL CHHIKARA,Independent,1584
BHUP SINGH,Independent,1107
KAMINI KAUR,Independent,666
VIJAY KUMAR,Republican Party of India (A),662
RAJESH KUMAR,Rashtriya Bahujan Hitay Party,545
None of the Above,None of the Above,8826
