Candidate,Party,Votes
GOURAV GOGOI,Indian National Congress,443315
MRINAL KUMAR SAIKIA,Bharatiya Janata Party,349441
BIJOY KUMAR TIRU,All India United Democratic Front,231295
DR. ARUN KUMAR SARMA,Asom Gana Parishad,78132
BINOD GOGOI,Independent,9583
MONTU SAIKIA,Independent,9133
JITEN GOGOI,Independent,8271
SAMSUL ALAM,All India Trinamool Congress,6538
ARUP KUMAR MAHANTA,Communist Party of India (Marxist-Leninist) (Liberation),5433
RAHMAT ULLAH,Independent,4985
MITHUAL KUMAR,All India Forward Bloc,2966
JINTI GOGOI,Aam Aadmi Party,2584
SAHABA AHMED,Independent,2411
None of the Above,None of the Above,12403
