Candidate,Party,Votes
KAMAKHYA PRASAD TASA,Bharatiya Janata Party,456420
BIJOY KRISHNA HANDIQUE,Indian National Congress,354000
PRODIP HAZARIKA,Asom Gana Parishad,46626
DRUPAD BORGOHAIN,Communist Party of India,28930
NASIR AHMED,All India United Democratic Front,7331
RIBULAYA GOGOI,All India Trinamool Congress,5759
GUNIN BASUMATARI,Samajwadi Party,5754
RAJ KUMAR DOWARAH,Independent,4737
MANOROM GOGOI,Aam Aadmi Party,3659
HOREN BORGOHAIN,All India Forward Bloc,3472
None of the Above,None of the Above,14648
