Candidate,Party,Votes
KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,657492
DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,260463
CHAGANLA NARENDRA NATH,Bharatiya Janata Party,181804
KUNDETI. RAVI.,Independent,33507
PRABHUGOUD, PULLAIAHGARI,Yuvajana Sramika Rythu Congress Party,11752
KOMPELLI PRABHUDAS,Republican Party of India (A),7599
Y. SHANKAR GOUD,Bahujan Samaj Party,6643
IQBAL ALI ZAFAR,Majlis Bachao Tahreek,5010
MEKA. SUBBA RAO,Independent,4441
BOMMA BALESHAM,Pyramid Party of India,3297
GAJABINKAR BANSILAL,Independent,3281
BALARAJU MITTAPALLY,Independent,2973
GURJADA BHEERAIAH YADAV,Independent,2053
None of the Above,None of the Above,10781
