Candidate,Party,Votes
DR. SANJAY JAISWAL,Bharatiya Janata Party,371232
PRAKASH JHA,Janata Dal (United),260978
RAGHUNATH JHA,Rashtriya Janata Dal,121800
PRABHU RAJ NARAIN RAO,Communist Party of India (Marxist),17157
SYED SHAMIM AKHTAR,Bahujan Samaj Party,12415
MOHAN KUMAR,Independent,11260
NAFISH AHAMAD,Independent,10502
SYED IRSHAD AKHTAR,Independent,9123
RATAN KUMAR SARKAR,Independent,6474
ANAND PRASAD,Independent,5818
SUNIL KUMAR RAO,Communist Party of India (Marxist-Leninist) (Liberation),4940
ANAND KAUSHAL SINGH,Aam Aadmi Party,4297
None of the Above,None of the Above,18804
