Candidate,Party,Votes
HUKM DEO NARAYAN YADAV,Bharatiya Janata Party,358040
ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,337505
PROF. GHULAM GHOUS,Janata Dal (United),56392
KUMARI RITA,Shivsena,30942
HARI NARAYAN YADAV,Bahujan Samaj Party,10115
NEERAJ PATHAK,Aam Aadmi Party,9718
ANIRUD SAHU,Samajwadi Janata Party (Rashtriya),9474
FAIZ AHMAD,Jai Prakash Janata Dal,8464
VIJAY KUMAR,Independent,7453
DHRUB NARAYAN KARN,Communist Party of India (Marxist-Leninist) (Liberation),6750
RATNESHWAR JHA,Akhil Bhartiya Mithila Party,6663
None of the Above,None of the Above,18937
