Candidate,Party,Votes
BIRENDRA KUMAR CHAUDHARY,Bharatiya Janata Party,335481
MANGANI LAL MANDAL,Rashtriya Janata Dal,280073
DEVENDRA PRASAD YADAV,Janata Dal (United),183591
PAWAN KUMAR,Independent,17790
MANILAL SAHU,Bahujan Samaj Party,14190
BARUN KUMAR JHA,Independent,13833
CHANDRA MOHAN JHA,Independent,9823
TILIYA DEVI,Aam Aadmi Party,9441
MD. AKHTAR ALI,Jai Prakash Janata Dal,9388
JANAK ROY,Independent,8689
RAM CHANDRA SAFI,Independent,8083
CHHEDI RAM,Independent,7632
BIPIN KUMAR JHA,Bharat Vikas Morcha,7358
HAIDAR,VANCHITSAMAJ INSAAF PARTY,5653
MD. FAIYAZ KHAN,Janta Dal Rashtravadi,5439
IBRAHIM ABBASI,Independent,4811
AWDHESH KUMAR SHINGH,Independent,4248
DR. BINAY KUMAR JHA,Independent,3956
VIGHNESH BHAGAT,Bahujan Mukti Party,3727
None of the Above,None of the Above,8043
