Candidate,Party,Votes
RANJEET RANJAN,Indian National Congress,332927
DILESHWAR KAMAIT,Janata Dal (United),273255
KAMESHWAR CHAUPAL,Bharatiya Janata Party,249693
AMAN KUMAR SAMAJSEVI,Bahujan Samaj Party,21233
SURESH KUMAR AZAD,Jai Hind Party,14754
JAY NARAYAN YADAV,Communist Party of India (Marxist-Leninist) (Liberation),11566
RAMDEV SHARMA,Independent,10687
PARMESHWAR JHA,Aam Aadmi Party,9604
BINOD KUMAR SAHU,Independent,8908
SHAKALDEV MANDAL,Samajwadi Janata Party (Rashtriya),5964
MOHAMMAD AMANULLAH,Indian Union Muslim League,5116
DEV NARAYAN YADAV,Bahujan Mukti Party,4825
None of the Above,None of the Above,21996
