Candidate,Party,Votes
MOHAMMAD ASRARUL HAQUE,Indian National Congress,493461
DR DILIP KUMAR JAISWAL,Bharatiya Janata Party,298849
AKHTARUL IMAN,Janata Dal (United),55822
ALIMUDDIN ANSARI,Aam Aadmi Party,15010
MD.NAUSHAD,Bahujan Samaj Party,14903
CHHOTE LAL MAHTO,Independent,11392
MANUWER ALAM,Janta Dal Rashtravadi,5714
MD. GULAB SIDDIKI,Loktantrik Janata Party (Secular),5559
MOHAMMAD WASIQUR RAHMAN,Indian Union Muslim League,5422
CHITRANJAN SINGH,Independent,5152
None of the Above,None of the Above,17206
