Candidate,Party,Votes
TARIQ ANWAR,Nationalist Congress Party,431292
NIKHIL KUMAR CHOUDHARY,Bharatiya Janata Party,316552
DR. RAM PRAKASH MAHTO,Janata Dal (United),100765
BALESHWAR MARANDI,Jharkhand Mukti Morcha,33593
ASHOK KU BHAGAT,Independent,15547
KANHAI MANDAL,Independent,10516
MAHBUB ALAM,Communist Party of India (Marxist-Leninist) (Liberation),9461
ASHOK KUMAR,Independent,9000
MAHAMMAD HAMID MOBARAK,All India Trinamool Congress,8392
NALINI MANDAL,Independent,7969
MD. TARIQ ANWAR,Independent,4514
SURESH RAY,Rashtravadi Janata Party,4450
BIBHAKER JHA @ VICTOR JHA,Aam Aadmi Party,4323
FULMANI HEMBRAM,Bharat Vikas Morcha,3096
SHIVENDRA KUMAR,Bahujan Samaj Party,2685
SATYANARAYAN BHAGAT,Proutist Sarva Samaj,2550
ABDUR RAHMAN,Bharatiya Momin Front,2489
RAJ KUMAR MANDAL,Independent,2141
MAHESH MANDAL,Bahujan Mukti Party,1980
SANJAY SINGH,Independent,1675
MD. IQBAL AHMAD,Samajwadi Janata Party (Rashtriya),1553
None of the Above,None of the Above,3287
