Candidate,Party,Votes
KIRTI AZAD,Bharatiya Janata Party,314949
MD. ALI ASHRAF FATMI,Rashtriya Janata Dal,279906
SANJAY KUMAR JHA,Janata Dal (United),104494
KEDAR KU. KESHAV,Shivsena,25277
PRAVIN KUMAR JHA,Independent,16125
HADAY NA. YADAV,Communist Party of India (Marxist),11606
KRISHNA KUMAR PASWAN,Independent,10080
COLONEL LAKSHMESHWAR MISHRA,Communist Party of India (Marxist-Leninist) (Liberation),9111
DURGA NAND MAHAVIR NAYAK,Bahujan Samaj Party,8835
DR. PRABHAT RANJAN DAS,Aam Aadmi Party,7550
PRADEEP PASWAN,Independent,5963
SADRE ALAM KHAN,Akhil Bhartiya Mithila Party,4558
JAINATH,Bahujan Mukti Party,2956
BRAHMADEO PRASAD KARYEE,Bajjikanchal Vikas Party,2929
FAISAL AHMAD,Janta Dal Rashtravadi,2900
None of the Above,None of the Above,21103
