Candidate,Party,Votes
RAJIV PRATAP RUDY,Bharatiya Janata Party,355120
RABRI DEVI,Rashtriya Janata Dal,314172
SALEEM PERWEZ,Janata Dal (United),107008
BAL MUKUND CHAUHAN,Bahujan Samaj Party,15500
LALAN PRASAD,Independent,14687
LALU RAI,Independent,9957
RAJESH KUMAR,Bharatiya Ekta Dal,9748
CHANDAN KUMAR ALIAS CHANDAN GUPTA,Bihar Janta Party,6765
PARMATMA SINGH,Aam Aadmi Party,5099
RANJAN KUMAR,Jai Maha Bharath Party,3217
NIRAJ RAM,Bahujan Mukti Party,2818
None of the Above,None of the Above,19163
