Candidate,Party,Votes
BHOLA SINGH,Bharatiya Janata Party,428227
MD. TANVEER HASSAN,Rashtriya Janata Dal,369892
RAJENDRA PRASAD SINGH,Communist Party of India,192639
VAIJ NATH PASWAN,Independent,12143
SUSHIL KUMAR,Independent,11144
RAM PADARATH YADAV,Bahujan Samaj Party,9014
SUNIL KUMAR,Aam Aadmi Party,8639
PINKI DEVI,Bahujan Mukti Party,4858
RAJENDRA YADAV,Independent,4605
MOHAMMAD JAVED,Independent,3405
HARI KANT PRASAD,Bharatiya Bahujan Congress,3344
PANKAJ PASWAN,Independent,3323
None of the Above,None of the Above,26622
