Candidate,Party,Votes
SHAILESH KUMAR URPH BULO MANDAL,Rashtriya Janata Dal,367623
SYED SHAHNAWAZ HUSSAIN,Bharatiya Janata Party,358138
ABU QAISER,Janata Dal (United),132256
RAMJEE MANDAL,Independent,18937
INDRADEO KUMAR SINGH,Independent,12710
NAUSHABA KHANAM,Bahujan Samaj Party,11265
MAHADEO KUMAR,Independent,9295
KUMKUM SINGH,Bharat Vikas Morcha,8025
SIKANDAR TANTI,Independent,7122
PROF. YOGENDRA MAHTO,Aam Aadmi Party,5830
RINKI KUMARI,Communist Party of India (Marxist-Leninist) (Liberation),5778
RANJAN KUMAR,Independent,5165
ANAND KUMAR JAIN,Independent,4734
SUMAN KUMAR,Independent,3444
GAURAV KUMAR GHOSH,National Tiger Party,3251
NISHI KANT MANDAL,Bahujan Mukti Party,3147
VIREN DAS,Sankhyanupati Bhagidari Party,3005
PUROSOTTAM CHOUBEY,Samajwadi Party,2416
None of the Above,None of the Above,11875
