Candidate,Party,Votes
VEENA DEVI,Lok Jan Shakti Party,352911
RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal (United),243827
PRAGATI MEHTA,Rashtriya Janata Dal,182971
ASHOK KUMAR SINGH,Shivsena,50469
KAMLESHWARI MANDAL,Bahujan Samaj Party,11225
UCHIT KUMAR,Independent,11122
MUZAFFAR FAKHRUDDIN,Independent,10264
SHARWAN KUMAR ANAND,Independent,8112
SANDEEP,Aam Aadmi Party,7481
RAM BADAN RAI,Samajwadi Party,6769
SURYODAY PASWAN,Sankhyanupati Bhagidari Party,5113
PRAMOD KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4710
SHANKAR PRASAD,Bahujan Mukti Party,3956
None of the Above,None of the Above,15420
