Candidate,Party,Votes
ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,513868
DR.BHAGAVANTH RAO,Bharatiya Janata Party,311414
S KRISHNA REDDY,Indian National Congress,49310
RASHID SHAREEF,Telangana Rashtra Samithi,37195
BINGHI RAJASHEKAR,Pyramid Party of India,21796
BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party,10743
LUBNA SARWATH,Aam Aadmi Party,6118
M A HABEEB,Independent,5992
VENU GOPAL.P,Bahujan Samaj Party,3100
SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek,2102
S.KHAJA MOINUDDIN,All India Azaad Congress Party,1593
SYED ABDUL GAFFER,Independent,740
MD OSMAN,Independent,728
SHAIK MOIN,Independent,626
JAYA VINDHYALA,Socialist Party (India),598
N.MAHENDER SINGH,Nava Bharat National Party,485
None of the Above,None of the Above,5013
