Candidate,Party,Votes
ASHWINI KUMAR CHOUBEY,Bharatiya Janata Party,319012
JAGADANAND SINGH,Rashtriya Janata Dal,186674
DADAN YADAV,Bahujan Samaj Party,184788
SHYAM LAL SINGH KUSHWAHA,Janata Dal (United),117012
INDU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),13051
SHEO GOPAL CHOUDHARY,Independent,12422
SWETA PATHAK,Aam Aadmi Party,7879
MOKARRAM HUSSAIN,Suheldev Bhartiya Samaj Party,7514
PRADEEP KUMAR PRASAD,Pragatisheel Manav Samaj Party,6901
NARENDRA PRATAP SINGH,Independent,6130
LALLAN RUPNARAIN PATHAK,Independent,5294
SHIO KUMAR SHARMA,Janvadi Party(Socialist),3437
RAJENDRA KUMAR SINGH CHOUHAN,Bharat Vikas Morcha,2740
TAFIR HUSSIAN,Hindustan Vikas Dal,2241
PARSHURAM PRASAD,Bahujan Mukti Party,2066
MONIBUR RAHMAN,Janta Dal Rashtravadi,1864
None of the Above,None of the Above,9179
