Candidate,Party,Votes
SUSHIL KUMAR SINGH,Bharatiya Janata Party,307941
NIKHIL KUMAR,Indian National Congress,241594
BAGI KUMAR VERMA,Janata Dal (United),136137
SANTOSH KUMAR,Bahujan Samaj Party,27833
UPENDRA NATH,Bahujan Mukti Party,9255
SOMARU PASWAN,Independent,8678
RAMJI SINGH,Independent,7195
RAGINI LATA SINGH,Aam Aadmi Party,6703
BIJEET KUMAR,Independent,6121
RAKESH SHARMA,Independent,5726
USHA SHARAN,Shoshit Samaj Dal,4608
DURGA THAKUR,Independent,3696
RITA DEVI,Samajwadi Party,3333
None of the Above,None of the Above,17454
