Candidate,Party,Votes
GIRIRAJ SINGH,Bharatiya Janata Party,390248
RAJ BALLABH PRASAD,Rashtriya Janata Dal,250091
KAUSHAL YADAV,Janata Dal (United),168217
SAFDAR ISMAIL,Independent,12072
SOHAIL ANWER,Bahujan Samaj Party,7997
SHULOCHANA DEVI,Independent,7324
SATISH KUMAR,Independent,6736
MANISH KUMAR,Independent,6443
RAJENDRA SINGH,Aam Aadmi Party,4057
ADITYA NARAYAN,Independent,3743
SURENDRA RAJBANSHI,Samajwadi Party,3612
AZAD GEETA PRASAD SHARMA,Independent,3568
VIJAY RAM,Moolniwasi Samaj Party,3291
MOHAMMAD JAHID HUSAIN,All India Trinamool Congress,3138
ASHOK KUMAR,Rajnaitik Vikalp Party,2596
UMAKANT RAHI,Shoshit Samaj Dal,2169
PRAMENDRA KUMAR YADAV,Bharatiya Ekta Dal,1650
None of the Above,None of the Above,7489
