Candidate,Party,Votes
CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,285354
SUDHANSU SHEKHAR BHASKAR,Rashtriya Janata Dal,199407
UDAY NARAIN CHOUDHARY,Janata Dal (United),198599
BRAHMDEV ANAND PASWAN,Bahujan Samaj Party,15008
UPENDRA RAVIDAS,Jharkhand Mukti Morcha,10748
SUBHASH PASWAN,Independent,10452
MANOJ KUMAR MANJHI,Independent,8360
DILIP KUMAR,Independent,7635
VINOD KUMAR DAS,Aam Aadmi Party,7159
VISHUN CHOUDHARY,Shivsena,7147
JAY PRAKASH DAS,Communist Party of India (Marxist-Leninist) (Liberation),6253
None of the Above,None of the Above,19517
