PARTY,TOTAL_COST,PARTY_WON_SEATS,PARTY_PARTICIPATED_SEATS,SUCCESS_RATIO,COST_PER_SEAT
"ALL INDIA N.R. CONGRESS",7000000,1,1,1.0000,7000000.0000
"KERALA CONGRESS (M)",7000000,1,1,1.0000,7000000.0000
"SIKKIM DEMOCRATIC FRONT",7000000,1,1,1.0000,7000000.0000
"BIJU JANATA DAL",147000000,20,21,0.9524,7350000.0000
"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",280000000,37,40,0.9250,7567567.5676
"LOK JAN SHAKTI PARTY",49000000,6,7,0.8571,8166666.6667
"RASHTRIYA LOK SAMTA PARTY",28000000,3,4,0.7500,9333333.3333
"BHARATIYA JANATA PARTY",2996000000,282,428,0.6589,10624113.4752
"TELANGANA RASHTRA SAMITHI",119000000,11,17,0.6471,10818181.8182
"JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY",35000000,3,5,0.6000,11666666.6667
"TELUGU DESAM",210000000,16,30,0.5333,13125000.0000
"SWABHIMANI PAKSHA",14000000,1,2,0.5000,14000000.0000
"NAGA PEOPLES FRONT",14000000,1,2,0.5000,14000000.0000
"SHIROMANI AKALI DAL",70000000,4,10,0.4000,17500000.0000
SHIVSENA,406000000,18,58,0.3103,22555555.5556
"APNA DAL",49000000,2,7,0.2857,24500000.0000
"ALL INDIA TRINAMOOL CONGRESS",917000000,34,131,0.2595,26970588.2353
"YUVAJANA SRAMIKA RYTHU CONGRESS PARTY",266000000,9,38,0.2368,29555555.5556
"ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN",35000000,1,5,0.2000,35000000.0000
"INDIAN NATIONAL LOK DAL",70000000,2,10,0.2000,35000000.0000
"ALL INDIA UNITED DEMOCRATIC FRONT",126000000,3,18,0.1667,42000000.0000
"NATIONALIST CONGRESS PARTY",252000000,6,36,0.1667,42000000.0000
"REVOLUTIONARY SOCIALIST PARTY",42000000,1,6,0.1667,42000000.0000
"NATIONAL PEOPLES PARTY",49000000,1,7,0.1429,49000000.0000
"RASHTRIYA JANATA DAL",210000000,4,30,0.1333,52500000.0000
"PATTALI MAKKAL KATCHI",63000000,1,9,0.1111,63000000.0000
"COMMUNIST PARTY OF INDIA (MARXIST)",651000000,9,93,0.0968,72333333.3333
"JHARKHAND MUKTI MORCHA",147000000,2,21,0.0952,73500000.0000
"INDIAN NATIONAL CONGRESS",3248000000,44,464,0.0948,73818181.8182
"INDIAN UNION MUSLIM LEAGUE",175000000,2,25,0.0800,87500000.0000
"JANATA DAL (SECULAR)",238000000,2,34,0.0588,119000000.0000
"SAMAJWADI PARTY",1379000000,5,197,0.0254,275800000.0000
"JANATA DAL (UNITED)",651000000,2,93,0.0215,325500000.0000
"COMMUNIST PARTY OF INDIA",469000000,1,67,0.0149,469000000.0000
"AAM AADMI PARTY",3024000000,4,432,0.0093,756000000.0000
INDEPENDENT,22645000000,3,3235,0.0009,7548333333.3333
