NO_OF_CONSTITUENCIES,CANDIDATE,PARTY
2,"SUNIL KUMAR","AAM AADMI PARTY"
2,"VINOD KUMAR","BAHUJAN MUKTI PARTY"
2,"JASWANT SINGH","BAHUJAN MUKTI PARTY"
2,"THAKUR HEMENDRA VEER SINGH","SARVA SAMAJ KALYAN PARTY"
2,"A.K. AGGARWAL","AGAR JAN PARTY"
2,"BHOLA SINGH","BHARATIYA JANATA PARTY"
2,"DINESH KUMAR","BAHUJAN MUKTI PARTY"
2,"SANJAY KUMAR","BAHUJAN SAMAJ PARTY"
2,"MULAYAM SINGH YADAV","SAMAJWADI PARTY"
2,"SUTHARAPU PADMAIAH","ANDHRA PRADESH RASHTRA SAMAIKYA SAMITHI PARTY"
2,"NARENDRA MODI","BHARATIYA JANATA PARTY"
2,"ASHOK KUMAR","BAHUJAN SAMAJ PARTY"
2,"HAREKRISHNA SARKAR","REPUBLICAN PARTY OF INDIA (A)"
2,"VIJAY KUMAR SINGH","BHARATIYA JANATA PARTY"
2,"ARVIND KUMAR","AAM AADMI PARTY"
2,"ASHOK SINGH","INDIAN NATIONAL CONGRESS"
