STATE,CONSTITUENCY,TOTAL_VOTES
"ANDHRA PRADESH",MALKAJGIRI,1620397
ASSAM,GAUHATI,1511729
KARNATAKA,"BANGALORE RURAL",1455244
ASSAM,DHUBRI,1369624
"WEST BENGAL",GHATAL,1366709
"WEST BENGAL",ARAMBAGH,1361934
KARNATAKA,"BANGALORE NORTH",1356718
"NCT OF DELHI","NORTH WEST DELHI",1356036
"WEST BENGAL",RANAGHAT,1353196
"WEST BENGAL",HOOGHLY,1348870
"NCT OF DELHI","WEST DELHI",1347971
"UTTAR PRADESH",GHAZIABAD,1342320
"WEST BENGAL",TAMLUK,1337684
"WEST BENGAL","COOCH BEHAR",1332409
"WEST BENGAL",BURDWAN,1331242
"WEST BENGAL","BARDHAMAN PURBA",1320922
"UTTAR PRADESH",JHANSI,1320804
HARYANA,GURGAON,1320619
"NCT OF DELHI","NORTH EAST DELHI",1317338
"MADHYA PRADESH",INDORE,1316817
"ANDHRA PRADESH",CHELVELLA,1315862
"WEST BENGAL",BOLPUR,1304756
"WEST BENGAL",JALPAIGURI,1302117
RAJASTHAN,JAIPUR,1296806
"WEST BENGAL",KANTHI,1290811
"WEST BENGAL",SRERAMPUR,1290433
"WEST BENGAL",MURSHIDABAD,1287763
"TAMIL NADU",SRIPERUMBUDUR,1286647
"WEST BENGAL",BANGAON,1283688
"ANDHRA PRADESH",NARASARAOPET,1282058
HARYANA,SIRSA,1279105
"WEST BENGAL",BIRBHUM,1275819
"WEST BENGAL",BASIRHAT,1273771
"WEST BENGAL",JADAVPUR,1272362
"WEST BENGAL",BISHNUPUR,1272070
"WEST BENGAL",BARASAT,1269331
"WEST BENGAL",MATHURAPUR,1265531
KARNATAKA,CHIKKBALLAPUR,1263274
"WEST BENGAL","DIAMOND HARBOUR",1261296
MAHARASHTRA,KOLHAPUR,1260289
"WEST BENGAL",MEDINIPUR,1260032
CHHATTISGARH,DURG,1258342
"WEST BENGAL",JHARGRAM,1257613
"MADHYA PRADESH",KHANDWA,1257327
RAJASTHAN,GANGANAGAR,1256806
"TAMIL NADU",THIRUVALLUR,1254440
"JAMMU & KASHMIR",JAMMU,1253593
CHHATTISGARH,RAIPUR,1250845
"WEST BENGAL",KRISHNANAGAR,1247914
CHHATTISGARH,RAIGARH,1246186
"ANDHRA PRADESH",GUNTUR,1244926
"WEST BENGAL",BANKURA,1236319
ASSAM,MANGALDOI,1233237
MAHARASHTRA,BEED,1232202
ASSAM,NOWGONG,1230074
ASSAM,KOKRAJHAR,1223869
"WEST BENGAL",ALIPURDUARS,1223566
RAJASTHAN,BARMER,1219119
HARYANA,AMBALA,1218995
"MADHYA PRADESH",MANDLA,1218518
"ANDHRA PRADESH",TIRUPATI,1213064
"ANDHRA PRADESH",BHONGIR,1211943
"ANDHRA PRADESH",ONGOLE,1208225
KARNATAKA,"DAKSHINA KANNADA",1207474
GUJARAT,BARDOLI,1206179
ASSAM,BARPETA,1205863
"ANDHRA PRADESH",ANANTAPUR,1205054
"ANDHRA PRADESH",NANDYAL,1204956
"WEST BENGAL",PURULIA,1204675
"ANDHRA PRADESH",ELURU,1201696
"UTTAR PRADESH",UNNAO,1201603
"ANDHRA PRADESH",KADAPA,1200662
"UTTAR PRADESH","GAUTAM BUDDHA NAGAR",1199238
"ANDHRA PRADESH",CHITTOOR,1198915
MAHARASHTRA,BHANDARA,1197196
"NCT OF DELHI","EAST DELHI",1196336
"ANDHRA PRADESH",VIJAYAWADA,1195075
"UTTAR PRADESH",SAHARANPUR,1194308
HARYANA,KARNAL,1193500
RAJASTHAN,UDAIPUR,1193202
KARNATAKA,MANDYA,1192638
"ANDHRA PRADESH",MEDAK,1191096
"ANDHRA PRADESH",NALGONDA,1189399
MAHARASHTRA,HATKANANGLE,1188871
"ANDHRA PRADESH",NELLORE,1187648
CHHATTISGARH,SARGUJA,1187321
"WEST BENGAL",JOYNAGAR,1186052
"WEST BENGAL",ULUBERIA,1186027
"ANDHRA PRADESH",BAPATLA,1184634
"ANDHRA PRADESH",KHAMMAM,1182897
CHHATTISGARH,RAJNANDGAON,1178296
"ANDHRA PRADESH",HINDUPUR,1177257
PUNJAB,BATHINDA,1176767
"TAMIL NADU",COIMBATORE,1176620
UTTARAKHAND,HARDWAR,1175692
"ANDHRA PRADESH",WARANGAL,1174631
MAHARASHTRA,MAVAL,1174335
RAJASTHAN,CHITTORGARH,1172629
RAJASTHAN,BANSWARA,1171188
ODISHA,BOLANGIR,1170405
"WEST BENGAL","KOLKATA DAKSHIN",1167979
ASSAM,KALIABOR,1166490
"ANDHRA PRADESH",VISAKHAPATNAM,1163558
"WEST BENGAL","MALDAHA UTTAR",1162985
MAHARASHTRA,PARBHANI,1162233
GUJARAT,VADODARA,1161577
"MADHYA PRADESH",MANDSOUR,1161349
GUJARAT,NAVSARI,1160747
KARNATAKA,MYSORE,1159594
